Designator,Mid X,Mid Y,Rotation,Layer
C1,35.0,-28.9695,90.0,top
C10,42.7482,-47.8409,90.0,top
C2,37.0,-54.125,90.0,top
C3,40.8432,-66.2559,270.0,top
C4,40.9194,-73.4414,270.0,top
C5,42.6974,-85.9409,270.0,top
C6,41.977,-106.323,180.0,top
C7,35.881,-106.323,0.0,top
C8,41.356,-110.768,90.0,top
C9,36.403,-110.79,90.0,top
D1,38.5,-59.85,90.0,top
D2,38.498907,-28.257205,90.0,top
D3,40.8794,-77.5,0.0,top
D4,43.0,-58.35,90.0,top
D5,40.5,-54.0,180.0,top
D6,42.1005,-117.6264,270.0,top
D7,36.3982,-117.6264,270.0,top
D8,38.9332,-90.8304,0.0,bottom
J1,38.9557,-112.0253,270.0,bottom
J2,38.9557,-123.1251,90.0,bottom
J3,38.9001,-98.7038,180.0,top
Q1,38.034,-66.151,90.0,top
Q2,37.211,-22.606,90.0,top
Q3,41.55,-29.083,90.0,top
Q4,36.3322,-124.0823,270.0,top
R1,36.5,-59.1566,90.0,top
R10,40.6721,-59.1566,90.0,top
R11,36.4096,-127.0381,0.0,top
R12,35.6362,-91.1733,90.0,top
R2,38.94455,-73.4414,270.0,top
R3,40.594,-22.63,270.0,top
R4,35.3187,-39.9161,90.0,top
R5,36.60165,-28.9695,270.0,top
R6,42.5323,-39.9161,90.0,top
R7,37.0078,-39.9161,270.0,top
R8,35.0,-54.3687,90.0,top
R9,36.9697,-73.4414,270.0,top
RV1,38.942837,-26.442873,180.0,bottom
RV2,38.9557,-45.133039,180.0,bottom
RV3,38.938037,-63.823205,180.0,bottom
RV4,38.899937,-82.513373,180.0,bottom
U1,38.9255,-45.3771,180.0,top
U2,38.9255,-82.7278,0.0,top
